Trip_ID,Customer_ID_x,Driver_ID_x,Pickup_Location_ID,Drop_Location_ID,Start_Time,End_Time,Start_Time_Dim_ID,End_Time_Dim_ID,Day_of_Week_x,Month_x,Quarter_x,Is_Peak_Hour_x,Is_Night_Ride,Is_Weekend,Vehicle_Type_x,Distance_KM,Duration_Minutes,Fare_Amount_INR,Discount_Amount_INR,Final_Fare_INR,Tip_Amount_INR,Surge_Multiplier,Trip_Status,Cancellation_Reason,Payment_Method,Promo_Applied,Trip_Purpose,Driver_Rating_Given,Customer_Rating_Given,Name_x,Gender,Age_Group,City_x,Area_x,Phone_x,Registration_Date,Registration_Channel,Membership_Tier,Is_Active,Preferred_Payment,Preferred_Vehicle,Ride_Type_Used,Total_Rides_x,Rides_Per_Month,Total_Amount_Spent_INR,Avg_Fare_Per_Ride_INR_x,Promo_Codes_Used,Referrals_Made,Rating_Given_to_Drivers,Customer_Rating,Cancellations,Cancellation_Rate_Pct_x,Complaints_Raised,Last_Complaint_Type,Primary_Ride_Purpose,Peak_Hour_Preference,Night_Rides_Pct_x,Weekend_Rides_Pct,Surge_Rides_Pct,Last_Ride_Date,Days_Since_Last_Ride,Name_y,City_y,Area_y,Phone_y,License_Number,Vehicle_Number,Vehicle_Type_y,Vehicle_Age_Years,Fuel_Type,Vehicle_Ownership,Onboarding_Channel,Join_Date,Experience_Years,Verification_Status,Languages_Known,Availability_Status,Shift_Preference,Daily_Online_Hours,Total_Rides_y,Rating_x,Driver_Badge,Acceptance_Rate_Pct,Completion_Rate_Pct,Cancellation_Rate_Pct_y,Total_Earnings_INR,Monthly_Avg_Earnings_INR,Avg_Fare_Per_Ride_INR_y,Incentives_Earned,Penalties_Received,Last_Penalty_Reason,Complaints_Received,Compliments_Received,Peak_Hour_Rides_Pct,Night_Rides_Pct_y,Surge_Acceptance_Pct,Last_Active_Date,Days_Since_Last_Active,Feedback_ID,Customer_ID_y,Driver_ID_y,Reviewer_Type,Feedback_Type,Feedback_Channel,Feedback_Date,Day_of_Week_y,Month_y,Quarter_y,Is_Peak_Hour_y,Rating_y,Sentiment,Comment,Word_Count,Has_Emoji,Issue_Flag,Issue_Category,Follow_Up_Required,Response_Status,Response_Date,Resolution_Days,Escalated,Compensation_Given,Helpful_Votes,Repeat_Feedback
TRIP000001,CUST00819,DRV00259,LOC_PUN_004,LOC_PUN_005,2024-09-30 21:33:09,2024-09-30 21:34:09,TM_202409302133,TM_202409302134,Monday,September,Q3,Yes,No,No,SUV,0.0,0,0.0,0.0,0.0,0.0,1.0,Cancelled,No Driver Available,,No,Leisure,,,Nikhil Pandey,Male,36-45,Pune,Shivajinagar,+91-7546633644,2021-11-02,Web,Gold,Yes,Cash,Autorickshaw,Both,188,4.88,13549.36,84.72,25,0,3.5,3.5,8,4.08,1,,Work/Office,Late Night (12-5AM),19.1,42.0,15.7,2024-10-22,70,Sanjay Mane,Mumbai,Goregaon,+91-8416391486,MH0724547713,MH16FF2678,Sedan,7,CNG,Self-Owned,Agent,2020-05-03,2.3,Verified,Marathi,Online,Flexible,6.0,1503,2.8,Bronze,82.7,75.1,28.5,312491.27,11322.15,182.89,28,3,Overcharging,2,19,58.4,20.7,36.5,2024-04-06,269,FBK000606,CUST00687,DRV00714,Driver,Vehicle Feedback,SMS,2023-02-05 11:16:00,Sunday,February,Q1,No,5.0,Positive,"Driver followed all traffic rules, felt very safe.",8.0,No,No,,No,Resolved,,,No,No,44.0,No
TRIP000001,CUST00819,DRV00259,LOC_PUN_004,LOC_PUN_005,2024-09-30 21:33:09,2024-09-30 21:34:09,TM_202409302133,TM_202409302134,Monday,September,Q3,Yes,No,No,SUV,0.0,0,0.0,0.0,0.0,0.0,1.0,Cancelled,No Driver Available,,No,Leisure,,,Nikhil Pandey,Male,36-45,Pune,Shivajinagar,+91-7546633644,2021-11-02,Web,Gold,Yes,Cash,Autorickshaw,Both,188,4.88,13549.36,84.72,25,0,3.5,3.5,8,4.08,1,,Work/Office,Late Night (12-5AM),19.1,42.0,15.7,2024-10-22,70,Sanjay Mane,Mumbai,Goregaon,+91-8416391486,MH0724547713,MH16FF2678,Sedan,7,CNG,Self-Owned,Agent,2020-05-03,2.3,Verified,Marathi,Online,Flexible,6.0,1503,2.8,Bronze,82.7,75.1,28.5,312491.27,11322.15,182.89,28,3,Overcharging,2,19,58.4,20.7,36.5,2024-04-06,269,FBK000705,CUST00476,DRV00862,Driver,Driver Feedback,In-App Chat,2023-10-18 15:07:00,Wednesday,October,Q4,No,4.5,Positive,"AC was working perfectly, very pleasant ride.",7.0,No,No,,No,Resolved,,,No,No,6.0,No
TRIP000002,CUST00149,DRV00570,LOC_MUM_009,LOC_MUM_001,2024-10-23 02:00:18,2024-10-23 02:22:18,TM_202410230200,TM_202410230222,Wednesday,October,Q4,No,Yes,No,SUV,10.52,22,401.2,0.0,401.2,0.0,1.25,Completed,,Cash,No,Shopping,3.6,3.2,Kiran Pandey,Male,46-55,Pune,Hadapsar,+91-7690697862,2020-05-09,Web,Gold,Yes,UPI,SUV,Both,164,2.9,49717.08,344.33,10,0,2.5,3.0,4,2.38,1,,Medical,Afternoon (12-3PM),46.9,40.4,17.0,2024-10-31,61,Rakesh Yadav,Pune,Kharadi,+91-8354322908,MH1320733854,MH08RN7352,Autorickshaw,8,CNG,Self-Owned,Referral,2018-10-14,12.8,Verified,Marathi+Hindi,Online,Morning (6AM-2PM),12.5,9482,4.4,Silver,76.8,80.6,19.1,568495.97,3701.15,70.34,23,4,Overcharging,2,21,24.1,15.0,79.5,2024-12-19,12,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIP000003,CUST00210,DRV00232,LOC_PUN_002,LOC_PUN_015,2023-06-05 10:43:48,2023-06-05 11:25:48,TM_202306051043,TM_202306051125,Monday,June,Q2,Yes,No,No,Autorickshaw,24.71,42,396.34,0.0,396.34,0.0,1.0,Completed,,Cash,No,School/College,3.7,3.2,Amit Iyer,Female,55+,Pune,Viman Nagar,+91-9789881939,2020-03-27,App,Platinum,No,UPI,Any,Both,234,4.03,28602.57,112.39,11,10,3.1,5.0,10,4.1,1,Late Pickup,Leisure,Evening (5-9PM),22.4,26.2,22.2,2023-02-24,676,Mahesh Shinde,Mumbai,Dadar,+91-9779917762,MH3820998850,MH08RJ7748,Autorickshaw,4,CNG,Rented,App,2022-06-05,14.1,Verified,Hindi,Offline,Flexible,10.5,9447,4.5,Gold,96.5,85.8,16.7,985661.38,5825.42,107.32,49,4,Late Cancellation,6,7,32.5,13.6,58.9,2024-12-24,7,FBK000724,CUST00926,DRV00972,Customer,App Feedback,Email,2024-06-24 11:49:00,Monday,June,Q2,No,4.0,Positive,Clean cab with great music. Enjoyable ride.,7.0,No,No,,No,Closed,,,No,No,4.0,No
TRIP000004,CUST00939,DRV00801,LOC_MUM_002,LOC_MUM_006,2023-12-12 10:53:42,2023-12-12 11:34:42,TM_202312121053,TM_202312121134,Tuesday,December,Q4,Yes,No,No,Autorickshaw,22.32,41,632.94,0.0,632.94,0.0,1.75,Completed,,Wallet,No,Leisure,4.9,4.1,Kiran Tiwari,Female,26-35,Pune,Wakad,+91-7060259362,2023-09-14,App,Bronze,No,UPI,Autorickshaw,Autorickshaw,17,1.08,9250.03,589.44,12,14,4.0,3.1,7,29.17,4,,Work/Office,Night (9PM-12AM),47.7,29.0,23.4,2024-03-15,291,Sanjay Bhosale,Pune,Baner,+91-7659569537,MH3324832530,MH13HZ1685,Autorickshaw,11,Petrol,Rented,Agent,2018-06-14,0.6,Pending,Marathi+Hindi,On Trip,Flexible,8.2,216,3.9,Bronze,58.1,88.6,8.6,25453.97,3535.27,130.25,45,4,Late Cancellation,2,13,27.2,14.1,59.0,2024-12-28,3,FBK000205,CUST00331,DRV00581,Driver,Vehicle Feedback,Email,2024-07-08 16:22:00,Monday,July,Q3,No,5.0,Positive,"Driver followed all traffic rules, felt very safe.",8.0,No,No,,No,Resolved,,,No,No,38.0,No
TRIP000004,CUST00939,DRV00801,LOC_MUM_002,LOC_MUM_006,2023-12-12 10:53:42,2023-12-12 11:34:42,TM_202312121053,TM_202312121134,Tuesday,December,Q4,Yes,No,No,Autorickshaw,22.32,41,632.94,0.0,632.94,0.0,1.75,Completed,,Wallet,No,Leisure,4.9,4.1,Kiran Tiwari,Female,26-35,Pune,Wakad,+91-7060259362,2023-09-14,App,Bronze,No,UPI,Autorickshaw,Autorickshaw,17,1.08,9250.03,589.44,12,14,4.0,3.1,7,29.17,4,,Work/Office,Night (9PM-12AM),47.7,29.0,23.4,2024-03-15,291,Sanjay Bhosale,Pune,Baner,+91-7659569537,MH3324832530,MH13HZ1685,Autorickshaw,11,Petrol,Rented,Agent,2018-06-14,0.6,Pending,Marathi+Hindi,On Trip,Flexible,8.2,216,3.9,Bronze,58.1,88.6,8.6,25453.97,3535.27,130.25,45,4,Late Cancellation,2,13,27.2,14.1,59.0,2024-12-28,3,FBK000521,CUST00063,DRV00336,Customer,Driver Feedback,Call Center,2023-03-23 06:40:00,Thursday,March,Q1,No,3.5,Neutral,"Vehicle was decent, could have been cleaner.",7.0,No,No,,No,Closed,,,No,No,2.0,No
TRIP000005,CUST00413,DRV00756,LOC_PUN_013,LOC_PUN_007,2023-01-10 22:28:07,2023-01-11 00:38:07,TM_202301102228,TM_202301110038,Tuesday,January,Q1,No,Yes,No,Sedan,33.21,130,886.62,0.0,886.62,23.58,1.0,Completed,,Wallet,No,Work/Office,3.5,4.0,Kavya Pandey,Male,26-35,Mumbai,Borivali,+91-9316016822,2022-08-09,Referral,Platinum,No,UPI,Any,Both,294,10.08,96594.5,376.02,25,12,4.3,3.1,3,1.01,4,Overcharging,Airport/Station,Afternoon (12-3PM),30.0,39.5,8.9,2023-04-19,622,Prakash Bhosale,Mumbai,Chembur,+91-7142694862,MH3821833369,MH07JF9545,Sedan,5,Petrol,Self-Owned,Camp,2022-03-13,1.6,Suspended,Marathi+Hindi,Offline,Afternoon (2PM-10PM),12.6,795,3.0,Bronze,98.5,86.5,12.4,191556.38,9976.89,212.62,14,4,Misconduct,4,9,53.7,38.4,89.1,2024-04-01,274,FBK000624,CUST00168,DRV00598,Customer,App Feedback,Call Center,2023-03-05 00:03:00,Sunday,March,Q1,No,4.5,Positive,"Very punctual pickup, loved the service.",6.0,Yes,No,,No,Closed,,,No,No,16.0,No
TRIP000006,CUST00709,DRV00671,LOC_PUN_005,LOC_PUN_010,2023-03-13 07:44:29,2023-03-13 07:45:29,TM_202303130744,TM_202303130745,Monday,March,Q1,Yes,No,No,Sedan,0.0,0,0.0,0.0,0.0,0.0,1.0,Cancelled,App Error,,Yes,Medical,,,Amit Nair,Male,36-45,Pune,Shivajinagar,+91-9440382034,2020-08-07,App,Platinum,No,UPI,Autorickshaw,Both,255,4.76,167979.67,580.87,7,9,3.1,4.2,16,5.9,1,,Work/Office,Afternoon (12-3PM),20.7,50.2,13.2,2023-12-12,385,Naresh Bhosale,Mumbai,Andheri,+91-9884614528,MH0122854913,MH01PT7245,SUV,10,Diesel,Self-Owned,App,2023-11-09,4.9,Pending,Hindi+English,On Trip,Afternoon (2PM-10PM),7.1,1776,3.0,Bronze,73.0,87.8,7.7,728255.77,12385.3,363.49,22,2,Misconduct,5,27,35.8,28.1,87.6,2024-08-08,145,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIP000007,CUST00064,DRV00814,LOC_PUN_013,LOC_PUN_015,2024-08-10 04:21:32,2024-08-10 05:18:32,TM_202408100421,TM_202408100518,Saturday,August,Q3,No,Yes,Yes,Autorickshaw,31.77,57,1282.95,0.0,1282.95,0.0,2.5,Completed,,Wallet,No,Medical,3.2,4.7,Meena Tiwari,Male,26-35,Pune,Hadapsar,+91-7821029192,2023-06-14,App,Bronze,No,UPI,SUV,Autorickshaw,22,1.17,5981.4,237.3,0,6,2.8,3.1,5,18.52,3,,Work/Office,Morning (7-10AM),26.6,22.7,33.6,2024-07-17,167,Nilesh Sharma,Mumbai,Andheri,+91-7971631076,MH3924933546,MH07UI6631,Sedan,4,CNG,Self-Owned,App,2018-06-04,5.4,Verified,English,Offline,Night (10PM-6AM),11.5,3467,3.6,Bronze,83.6,88.4,9.7,662648.94,10226.06,195.12,21,3,Misconduct,4,23,68.0,27.0,46.7,2024-09-16,106,FBK000495,CUST00984,DRV00023,Driver,Driver Feedback,Email,2024-03-27 09:40:00,Wednesday,March,Q1,Yes,4.5,Positive,Vehicle was clean and comfortable throughout the trip.,8.0,Yes,No,,No,Closed,,,No,No,35.0,Yes
TRIP000007,CUST00064,DRV00814,LOC_PUN_013,LOC_PUN_015,2024-08-10 04:21:32,2024-08-10 05:18:32,TM_202408100421,TM_202408100518,Saturday,August,Q3,No,Yes,Yes,Autorickshaw,31.77,57,1282.95,0.0,1282.95,0.0,2.5,Completed,,Wallet,No,Medical,3.2,4.7,Meena Tiwari,Male,26-35,Pune,Hadapsar,+91-7821029192,2023-06-14,App,Bronze,No,UPI,SUV,Autorickshaw,22,1.17,5981.4,237.3,0,6,2.8,3.1,5,18.52,3,,Work/Office,Morning (7-10AM),26.6,22.7,33.6,2024-07-17,167,Nilesh Sharma,Mumbai,Andheri,+91-7971631076,MH3924933546,MH07UI6631,Sedan,4,CNG,Self-Owned,App,2018-06-04,5.4,Verified,English,Offline,Night (10PM-6AM),11.5,3467,3.6,Bronze,83.6,88.4,9.7,662648.94,10226.06,195.12,21,3,Misconduct,4,23,68.0,27.0,46.7,2024-09-16,106,FBK000903,CUST00602,DRV00096,Driver,Vehicle Feedback,Call Center,2023-08-22 10:20:00,Tuesday,August,Q3,Yes,4.5,Positive,"Professional and friendly driver, great experience.",6.0,No,No,,No,Closed,,,No,No,4.0,No
